No checkpoint found, starting fresh training
Epoch [168/200], Train Loss: 0.4712, Train Accuracy: 0.7754, Val Loss: 0.4576, Val Accuracy: 0.8004, Time Taken: 425.02s
Epoch [169/200], Train Loss: 0.4645, Train Accuracy: 0.7825, Val Loss: 0.4896, Val Accuracy: 0.7626, Time Taken: 423.44s
Epoch [170/200], Train Loss: 0.4789, Train Accuracy: 0.7833, Val Loss: 0.4916, Val Accuracy: 0.7920, Time Taken: 431.44s
Epoch [171/200], Train Loss: 0.4653, Train Accuracy: 0.7780, Val Loss: 0.4617, Val Accuracy: 0.7773, Time Taken: 423.53s
Epoch [172/200], Train Loss: 0.4578, Train Accuracy: 0.7878, Val Loss: 0.4667, Val Accuracy: 0.7815, Time Taken: 423.42s
Epoch [173/200], Train Loss: 0.4662, Train Accuracy: 0.7749, Val Loss: 0.4807, Val Accuracy: 0.7794, Time Taken: 431.30s
Epoch [174/200], Train Loss: 0.4705, Train Accuracy: 0.7767, Val Loss: 0.5119, Val Accuracy: 0.7710, Time Taken: 425.62s
Epoch [175/200], Train Loss: 0.4580, Train Accuracy: 0.7851, Val Loss: 0.4643, Val Accuracy: 0.7983, Time Taken: 426.61s
Epoch [176/200], Train Loss: 0.4654, Train Accuracy: 0.7836, Val Loss: 0.5024, Val Accuracy: 0.7689, Time Taken: 423.00s
Epoch [177/200], Train Loss: 0.4622, Train Accuracy: 0.7833, Val Loss: 0.4642, Val Accuracy: 0.7920, Time Taken: 418.71s
Epoch [178/200], Train Loss: 0.4700, Train Accuracy: 0.7720, Val Loss: 0.4687, Val Accuracy: 0.7857, Time Taken: 417.87s
Epoch [179/200], Train Loss: 0.4554, Train Accuracy: 0.7880, Val Loss: 0.4551, Val Accuracy: 0.7857, Time Taken: 418.70s
Epoch [180/200], Train Loss: 0.4690, Train Accuracy: 0.7828, Val Loss: 0.4643, Val Accuracy: 0.7815, Time Taken: 420.31s
Epoch [181/200], Train Loss: 0.4789, Train Accuracy: 0.7744, Val Loss: 0.4510, Val Accuracy: 0.7983, Time Taken: 424.14s
Epoch [182/200], Train Loss: 0.4669, Train Accuracy: 0.7815, Val Loss: 0.4611, Val Accuracy: 0.7878, Time Taken: 423.58s
Epoch [183/200], Train Loss: 0.4699, Train Accuracy: 0.7833, Val Loss: 0.4404, Val Accuracy: 0.7878, Time Taken: 432.32s
Epoch [184/200], Train Loss: 0.4786, Train Accuracy: 0.7765, Val Loss: 0.4504, Val Accuracy: 0.7983, Time Taken: 419.48s
Epoch [185/200], Train Loss: 0.4535, Train Accuracy: 0.7833, Val Loss: 0.4774, Val Accuracy: 0.7752, Time Taken: 426.85s
Epoch [186/200], Train Loss: 0.4754, Train Accuracy: 0.7746, Val Loss: 0.4713, Val Accuracy: 0.7962, Time Taken: 423.14s
Epoch [187/200], Train Loss: 0.4700, Train Accuracy: 0.7799, Val Loss: 0.4580, Val Accuracy: 0.7857, Time Taken: 427.31s
Epoch [188/200], Train Loss: 0.4685, Train Accuracy: 0.7870, Val Loss: 0.4546, Val Accuracy: 0.7794, Time Taken: 424.42s
Epoch [189/200], Train Loss: 0.4600, Train Accuracy: 0.7846, Val Loss: 0.4943, Val Accuracy: 0.7920, Time Taken: 429.45s
